ID,title,release_year,age,Rotten Tomatoes,netflix_available,Hulu,prime_available,Disney+,type,platform,Certificate,listed_in,Overview,Runtime,platform_rating,No.of.Ratings,title_lower,Director,Actor,PeopleVote,Hero_Rating,movie_rating,content_rating,platform_Disney+,platform_Netflix,platform_Prime Video,platform_Tamil OTT,platform_Telugu OTT,rating,predicted_rating
1.0,The Irishman,2019.0,18+,98/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,the irishman,,,,,,,False,True,False,False,False,,4.963166666666667
2.0,Dangal,2016.0,7+,97/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,dangal,,,,,,,False,True,False,False,False,,5.666309523809523
3.0,David Attenborough: A Life on Our Planet,2020.0,7+,95/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,david attenborough: a life on our planet,,,,,,,False,True,False,False,False,,5.0536666666666665
4.0,Lagaan: Once Upon a Time in India,2001.0,7+,94/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,lagaan: once upon a time in india,,,,,,,False,True,False,False,False,,6.080333333333334
5.0,Roma,2018.0,18+,94/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,roma,,,,,,,False,True,False,False,False,,4.928166666666667
6.0,To All the Boys I've Loved Before,2018.0,13+,94/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,to all the boys i've loved before,,,,,,,False,True,False,False,False,,4.928166666666667
7.0,The Social Dilemma,2020.0,13+,93/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,the social dilemma,,,,,,,False,True,False,False,False,,5.0536666666666665
8.0,Okja,2017.0,13+,92/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,okja,,,,,,,False,True,False,False,False,,5.427
9.0,The Ballad of Buster Scruggs,2018.0,16+,92/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,the ballad of buster scruggs,,,,,,,False,True,False,False,False,,4.928166666666667
10.0,The Trial of the Chicago 7,2020.0,18+,92/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,the trial of the chicago 7,,,,,,,False,True,False,False,False,,5.0536666666666665
11.0,Article 15,2019.0,18+,92/100,1.0,0.0,0.0,0.0,0.0,Netflix,,,,,,,article 15,,,,,,,False,True,False,False,False,,4.963166666666667
